time,S,I,R
0.0,0.99,0.01,0.0
0.1,0.989349419425829,0.010547875378333852,0.00010270519583715918
0.2,0.9886636936397075,0.011125291858804235,0.00021101450148822205
0.30000000000000004,0.987940981393653,0.011733788793022348,0.0003252298133246138
0.4,0.9871793515362166,0.012374979735867231,0.0004456687279162075
0.5,0.9863767793636466,0.01305055534105761,0.0005726652952958047
0.6000000000000001,0.985531142909543,0.013762286289260208,0.0007065708011968425
0.7000000000000001,0.9846402191835801,0.014512026237888912,0.0008477545785310053
0.8,0.9837016803717147,0.015301714780029906,0.0009966048482554645
0.9,0.9827130900123181,0.01613338039803745,0.0011535295896444955
1.0,0.9816718991649017,0.01700914339527284,0.00131895743982548
1.1,0.9805754425905419,0.017931218787195256,0.0014933386222629106
1.2000000000000002,0.9794209349657778,0.01890191913054824,0.0016771459036740376
1.3,0.9782054671546548,0.01992365726671102,0.0018708755786341624
1.4000000000000001,0.9769260025667313,0.020998948952392574,0.002075048480876174
1.5,0.9755793736322619,0.02213041534773267,0.0022902110200055466
1.6,0.9741622784294286,0.023320785328535022,0.0025169362420364542
1.7000000000000002,0.9726712775024032,0.024572897585792296,0.0027558249118045924
1.8,0.9711027909132002,0.02588970247187416,0.0030075066149255984
1.9000000000000001,0.9694530955747129,0.027274263548744713,0.0032726408765423112
2.0,0.9677183229169966,0.028729758789365994,0.003551918293637486
2.1,0.9658944569437727,0.030259481379048273,0.0038460616771790242
2.2,0.9639773327412405,0.03186684005894902,0.004155827199810505
2.3000000000000003,0.9619626355065669,0.03355535894923374,0.004482005544199388
2.4000000000000004,0.9598459001688578,0.03532867678463441,0.004825423046507598
2.5,0.9576225116809198,0.03719054549032658,0.0051869428287536845
2.6,0.9552877060656509,0.039144828021256885,0.005567465913092236
2.7,0.9528365723063889,0.04119549538336565,0.00596793231024554
2.8000000000000003,0.9502640551758617,0.04334662275065261,0.006389322073485789
2.9000000000000004,0.9475649591034798,0.04560238458783403,0.006832656308686199
3.0,0.9447339531854032,0.04796704868455728,0.007298998130039525
3.1,0.941765577445999,0.050444969003913376,0.007789453550087645
3.2,0.938654250462802,0.05304057724547549,0.008305172291722434
3.3000000000000003,0.9353942784697178,0.05575837302146816,0.008847348508814077
3.4000000000000004,0.9319798660547615,0.05860291254413052,0.009417221401108046
3.5,0.9284051285688917,0.06157879572308993,0.010016075708018227
3.6,0.9246641063612179,0.06469065157383719,0.010645242064944986
3.7,0.9207507809527863,0.0679431218424339,0.011306097204779863
3.8000000000000003,0.9166590932560166,0.07134084275764148,0.012000063986342001
3.9000000000000004,0.9123829639393544,0.07488842482999905,0.012728611230646676
4.0,0.9079163160265831,0.07859043062825936,0.013493253345157651
4.1000000000000005,0.9032530998071753,0.0824513504772756,0.014295549715549222
4.2,0.8983873201178082,0.08647557603816207,0.015137103844029862
4.3,0.8933130660354586,0.0906673717515523,0.01601956221298905
4.4,0.8880245429991078,0.09503084414823648,0.016944612852655704
4.5,0.8825161073498463,0.09956990905851779,0.01791398359163588
4.6000000000000005,0.8767823032479678,0.10428825678236643,0.0189294399696658
4.7,0.8708179018904184,0.10918931531687179,0.01999278279270987
4.800000000000001,0.8646179429127978,0.11427621177551234,0.021105845311689703
4.9,0.8581777778171354,0.11955173217518153,0.022270490007683098
5.0,0.8514931152201825,0.12501827981140293,0.023488604968414702
5.1000000000000005,0.844560067667416,0.1306778324892831,0.02476209984330098
5.2,0.8373751997058989,0.13653189892686735,0.026092901367233825
5.300000000000001,0.8299355768553793,0.142581474697914,0.02748294844670672
5.4,0.8222388150624467,0.14882699813174158,0.028934186805811765
5.5,0.8142831301683121,0.15526830663762523,0.030448563194062722
5.6000000000000005,0.8060673868681294,0.16190459396895646,0.03202801916291418
5.7,0.7975911465901562,0.1687343689866219,0.03367448442322194
5.800000000000001,0.7888547136780493,0.17575541652026863,0.035389869801682086
5.9,0.7798591792208783,0.18296476095868383,0.037176059820437805
6.0,0.7706064618447659,0.1903586332247556,0.03903490493047861
6.1000000000000005,0.7610993447591772,0.19793244180473815,0.04096821343608474
6.2,0.7513415083414978,0.20568074850421986,0.04297774315428237
6.300000000000001,0.7413375575472262,0.2135972495928246,0.04506519285994928
6.4,0.7310930434512797,0.221674762975011,0.047232193573709245
6.5,0.7206144782596767,0.22990522198439492,0.04948029975592838
6.6000000000000005,0.7099093431809859,0.23827967634319247,0.05181098047582168
6.7,0.698986088613792,0.2467883007564741,0.05422561062973397
6.800000000000001,0.6878541261898637,0.25542041152322137,0.05672546228691485
6.9,0.6765238123120704,0.26416449144351917,0.05931169624441043
7.0,0.6650064229401332,0.2730082231849665,0.06198535387490026
7.1000000000000005,0.6533141195042114,0.2819385311434972,0.0647473493522914
7.2,0.6414599059637183,0.29094163169674414,0.06759846233953756
7.300000000000001,0.6294575771737624,0.3000030916048342,0.0705393312214034
7.4,0.6173216588708401,0.3091078941674625,0.07357044696169736
7.5,0.6050673397391831,0.3182405126009755,0.07669214765984135
7.6000000000000005,0.5927103961655318,0.3273849899589065,0.07990461387556165
7.7,0.5802671104290366,0.33652502478792345,0.08320786478303997
7.800000000000001,0.5677541832004965,0.3456440615923374,0.08660175520716605
7.9,0.55518864133747,0.35472538507780266,0.09008597358472734
8.0,0.5425877420555307,0.3637522170618319,0.09366004088263752
8.1,0.5299688746282252,0.37270781487792154,0.09732331049385325
8.200000000000001,0.5173494608168652,0.3815755700634454,0.10107496911968954
8.3,0.5047468552546601,0.39033910611027267,0.1049140386350671
8.4,0.4921782470071805,0.3989823740717497,0.10883937892106985
